"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018-12-1","3,010.65","3,260.69","3,273.64","2,964.88","1.43M","-5.11%"
"2018-11-1","3,172.69","3,185.20","3,294.60","3,126.29","2.09M","0.60%"
"2018-10-1","3,153.82","3,361.56","3,364.46","3,009.50","1.74M","-8.29%"
"2018-9-1","3,438.86","3,320.69","3,448.26","3,191.40","1.33M","3.13%"
"2018-8-1","3,334.50","3,530.03","3,543.61","3,209.01","1.72M","-5.21%"
"2018-7-1","3,517.66","3,504.46","3,596.51","3,295.73","1.86M","0.19%"
"2018-6-1","3,510.98","3,789.67","3,859.85","3,416.95","1.65M","-7.66%"
"2018-5-1","3,802.38","3,769.93","3,937.46","3,722.07","1.73M","1.21%"
"2018-4-1","3,756.88","3,897.01","3,958.71","3,708.11","1.71M","-3.63%"
"2018-3-1","3,898.50","3,994.87","4,139.53","3,794.26","2.34M","-3.11%"
"2018-2-1","4,023.64","4,276.34","4,287.39","3,759.15","2.16M","-5.90%"
"2018-1-1","4,275.90","4,045.21","4,403.34","4,045.21","3.65M","6.08%"
"2017-12-1","4,030.85","4,003.56","4,086.93","3,955.44","1.99M","0.62%"
"2017-11-1","4,006.10","4,007.91","4,260.64","3,963.03","3.09M","-0.02%"
"2017-10-1","4,006.72","3,910.11","4,033.34","3,855.47","1.81M","4.44%"
"2017-9-1","3,836.50","3,825.34","3,865.29","3,808.38","2.40M","0.38%"
"2017-8-1","3,822.09","3,738.74","3,866.94","3,645.09","2.94M","2.25%"
"2017-7-1","3,737.87","3,667.23","3,755.19","3,610.46","2.62M","1.94%"
"2017-6-1","3,666.80","3,485.22","3,676.53","3,460.45","2.02M","4.98%"
"2017-5-1","3,492.88","3,427.92","3,515.08","3,312.89","1.97M","1.54%"
"2017-4-1","3,439.75","3,476.42","3,526.81","3,399.54","2.29M","-0.47%"
"2017-3-1","3,456.05","3,452.21","3,505.98","3,412.69","2.14M","0.09%"
"2017-2-1","3,452.81","3,390.93","3,492.96","3,347.43","1.77M","1.91%"
"2017-1-1","3,387.96","3,313.95","3,395.88","3,264.21","1.47M","2.35%"
"2016-12-1","3,310.08","3,543.96","3,575.97","3,267.05","2.54M","-6.44%"
"2016-11-1","3,538.00","3,338.71","3,583.72","3,322.08","3.19M","6.05%"
"2016-10-1","3,336.28","3,265.36","3,382.83","3,258.96","1.48M","2.55%"
"2016-9-1","3,253.28","3,326.74","3,357.36","3,214.44","1.44M","-2.24%"
"2016-8-1","3,327.79","3,196.43","3,418.69","3,156.75","2.37M","3.87%"
"2016-7-1","3,203.93","3,156.93","3,300.99","3,134.02","2.32M","1.59%"
"2016-6-1","3,153.92","3,172.96","3,201.75","3,033.97","1.69M","-0.49%"
"2016-5-1","3,169.56","3,159.82","3,222.88","3,027.44","1.59M","0.41%"
"2016-4-1","3,156.75","3,213.67","3,296.52","3,107.37","2.06M","-1.91%"
"2016-3-1","3,218.09","2,881.34","3,267.78","2,863.32","3.06M","11.84%"
"2016-2-1","2,877.47","2,939.04","3,128.21","2,821.21","1.71M","-2.33%"
"2016-1-1","2,946.09","3,725.86","3,726.24","2,839.29","2.45M","-21.04%"
"2015-12-1","3,731.00","3,562.32","3,926.69","3,536.12","3.36M","4.62%"
"2015-11-1","3,566.41","3,489.23","3,891.77","3,452.62","4.39M","0.91%"
"2015-10-1","3,534.08","3,324.98","3,620.76","3,293.97","3.04M","10.34%"
"2015-9-1","3,202.95","3,296.53","3,426.65","3,131.37","3.17M","-4.86%"
"2015-8-1","3,366.54","3,766.07","4,113.16","2,952.01","5.34M","-11.79%"
"2015-7-1","3,816.70","4,408.98","4,526.13","3,537.83","9.53M","-14.67%"
"2015-6-1","4,473.00","4,862.76","5,380.43","4,000.93","9.50M","-7.60%"
"2015-5-1","4,840.83","4,757.64","5,226.84","4,445.59","7.73M","1.91%"
"2015-4-1","4,749.89","4,057.50","4,839.08","4,046.94","9.56M","17.25%"
"2015-3-1","4,051.20","3,603.45","4,166.02","3,417.49","6.84M","13.39%"
"2015-2-1","3,572.84","3,360.19","3,594.81","3,285.94","2.80M","4.03%"
"2015-1-1","3,434.39","3,566.09","3,689.75","3,325.68","5.67M","-2.81%"
"2014-12-1","3,533.71","2,825.61","3,542.34","2,804.29","9.25M","25.81%"
"2014-11-1","2,808.82","2,515.82","2,809.54","2,482.98","4.16M","11.98%"
"2014-10-1","2,508.32","2,460.87","2,512.19","2,361.68","2.31M","2.34%"
"2014-9-1","2,450.99","2,340.93","2,462.67","2,338.53","2.49M","4.82%"
"2014-8-1","2,338.29","2,341.23","2,380.77","2,309.64","2.06M","-0.51%"
"2014-7-1","2,350.25","2,169.20","2,350.55","2,134.79","1.84M","8.55%"
"2014-6-1","2,165.12","2,157.64","2,196.34","2,117.31","919.32K","0.40%"
"2014-5-1","2,156.46","2,152.59","2,185.05","2,096.51","942.77K","-0.10%"
"2014-4-1","2,158.66","2,143.72","2,290.74","2,131.78","1.30M","0.58%"
"2014-3-1","2,146.30","2,173.91","2,194.22","2,077.76","1.46M","-1.50%"
"2014-2-1","2,178.97","2,187.34","2,331.70","2,133.55","1.36M","-1.07%"
"2014-1-1","2,202.45","2,323.43","2,325.99","2,156.46","1.12M","-5.48%"
"2013-12-1","2,330.03","2,423.97","2,486.64","2,259.57","1.35M","-4.47%"
"2013-11-1","2,438.94","2,373.96","2,460.56","2,279.01","1.43M","2.75%"
"2013-10-1","2,373.72","2,406.42","2,483.13","2,327.90","1.51M","-1.47%"
"2013-9-1","2,409.04","2,319.96","2,527.38","2,297.45","1.86M","4.11%"
"2013-8-1","2,313.91","2,206.00","2,423.08","2,200.63","1.58M","5.51%"
"2013-7-1","2,193.02","2,187.09","2,351.22","2,149.79","1.50M","-0.35%"
"2013-6-1","2,200.64","2,605.97","2,625.94","2,023.17","1.11M","-15.57%"
"2013-5-1","2,606.43","2,434.60","2,661.23","2,423.08","1.44M","6.50%"
"2013-4-1","2,447.31","2,486.43","2,542.45","2,416.62","943.49K","-1.91%"
"2013-3-1","2,495.08","2,671.84","2,680.85","2,482.49","1.48M","-6.67%"
"2013-2-1","2,673.33","2,677.19","2,791.30","2,564.67","1.42M","-0.50%"
"2013-1-1","2,686.88","2,551.81","2,696.88","2,473.70","1.72M","6.50%"
"2012-12-1","2,522.95","2,136.70","2,522.95","2,102.14","1.43M","17.91%"
"2012-11-1","2,139.66","2,256.61","2,318.23","2,109.96","708.31K","-5.11%"
"2012-10-1","2,254.82","2,291.96","2,347.90","2,227.65","682.77K","-1.67%"
"2012-9-1","2,293.11","2,201.12","2,341.52","2,172.88","900.18K","4.00%"
"2012-8-1","2,204.87","2,332.13","2,413.42","2,188.72","767.01K","-5.49%"
"2012-7-1","2,332.92","2,473.54","2,490.55","2,329.50","828.94K","-5.23%"
"2012-6-1","2,461.61","2,633.60","2,653.86","2,417.49","757.12K","-6.48%"
"2012-5-1","2,632.04","2,660.67","2,717.82","2,545.34","1.14M","0.22%"
"2012-4-1","2,626.16","2,449.21","2,643.77","2,441.27","870.21K","6.98%"
"2012-3-1","2,454.90","2,622.74","2,705.75","2,429.73","1.23M","-6.80%"
"2012-2-1","2,634.14","2,458.23","2,693.84","2,423.45","1.21M","6.89%"
"2012-1-1","2,464.26","2,361.50","2,510.34","2,254.57","742.77K","5.05%"
"2011-12-1","2,345.74","2,596.15","2,630.66","2,267.11","713.63K","-6.97%"
"2011-11-1","2,521.52","2,672.51","2,781.99","2,507.18","953.91K","-6.45%"
"2011-10-1","2,695.31","2,588.35","2,729.14","2,500.49","762.68K","4.41%"
"2011-9-1","2,581.35","2,852.39","2,869.25","2,572.19","702.29K","-9.32%"
"2011-8-1","2,846.78","2,969.11","2,991.05","2,697.06","1.08M","-4.22%"
"2011-7-1","2,972.08","3,052.12","3,140.10","2,948.08","1.16M","-2.37%"
"2011-6-1","3,044.09","2,996.08","3,058.63","2,862.41","1.01M","1.42%"
"2011-5-1","3,001.56","3,192.84","3,212.05","2,942.36","968.54K","-5.99%"
"2011-4-1","3,192.72","3,227.56","3,380.53","3,147.14","1.49M","-0.95%"
"2011-3-1","3,223.29","3,241.71","3,355.49","3,147.96","1.85M","-0.50%"
"2011-2-1","3,239.56","3,083.49","3,269.05","3,024.35","1.20M","5.30%"
"2011-1-1","3,076.51","3,155.56","3,209.90","2,919.16","1.27M","-1.65%"
"2010-12-1","3,128.26","3,127.26","3,282.77","3,025.22","1.44M","-0.28%"
"2010-11-1","3,136.99","3,390.41","3,557.99","3,060.44","2.30M","-7.19%"
"2010-10-1","3,379.98","2,965.65","3,499.82","2,963.24","2.27M","15.14%"
"2010-9-1","2,935.57","2,907.66","2,991.44","2,829.76","1.26M","1.12%"
"2010-8-1","2,903.19","2,868.28","2,975.19","2,799.22","1.46M","1.20%"
"2010-7-1","2,868.85","2,557.92","2,888.60","2,462.20","1.17M","11.93%"
"2010-6-1","2,563.07","2,755.28","2,795.32","2,546.84","751.57K","-7.58%"
"2010-5-1","2,773.26","3,005.49","3,056.08","2,647.60","1.05M","-9.59%"
"2010-4-1","3,067.36","3,349.88","3,436.29","3,014.07","1.31M","-8.32%"
"2010-3-1","3,345.61","3,290.01","3,372.26","3,169.10","1.16M","1.95%"
"2010-2-1","3,281.67","3,198.23","3,301.15","3,094.57","718.10K","2.42%"
"2010-1-1","3,204.16","3,592.47","3,597.75","3,168.46","1.50M","-10.39%"
"2009-12-1","3,575.68","3,507.56","3,672.80","3,296.29","1.65M","1.82%"
"2009-11-1","3,511.67","3,205.84","3,698.13","3,198.31","1.99M","7.05%"
"2009-10-1","3,280.37","3,078.75","3,436.39","3,071.27","1.09M","9.17%"
"2009-9-1","3,004.80","2,804.58","3,330.43","2,795.49","1.62M","6.17%"
"2009-8-1","2,830.27","3,754.22","3,803.06","2,825.77","1.97M","-24.22%"
"2009-7-1","3,734.62","3,153.54","3,765.59","3,150.65","2.84M","17.94%"
"2009-6-1","3,166.47","2,798.93","3,195.72","2,798.93","2.10M","14.74%"
"2009-5-1","2,759.71","2,635.13","2,849.64","2,632.30","1.63M","5.21%"
"2009-4-1","2,622.93","2,519.89","2,713.30","2,457.42","2.13M","4.59%"
"2009-3-1","2,507.79","2,123.37","2,516.38","2,100.64","1.99M","17.16%"
"2009-2-1","2,140.49","2,052.44","2,470.62","2,029.72","2.24M","5.30%"
"2009-1-1","2,032.68","1,848.33","2,054.33","1,837.84","934.22K","11.83%"
"2008-12-1","1,817.72","1,823.77","2,107.60","1,799.84","1.44M","-0.67%"
"2008-11-1","1,829.92","1,648.56","1,994.82","1,606.73","1.22M","9.99%"
"2008-10-1","1,663.66","2,206.56","2,206.56","1,607.67","762.85K","-25.85%"
